src/exec/builtin_fg.c:8  bad spacing before killed
src/exec/environment.h:38  global named env is not well prefixed
src/exec/builtin_hash.c:65  line has 83 characters
src/exec/get_builtin.c:15  global named builtins is not well prefixed
src/exec/delete_t_hashalias.c:22  must begin only by tabulations
src/exec/delete_t_hashalias.c:22  bad indentation
src/exec/delete_t_hash.c:22  must begin only by tabulations
src/exec/delete_t_hash.c:22  bad indentation
src/exec/expand_pipeline.c:25  C++ comment
src/exec/expand_pipeline.c:47  Space before function name
src/exec/expand_pipeline.c:47  bad spacing
src/exec/expand_pipeline.c:57  Space before function name
src/exec/expand_pipeline.c:57  bad spacing
src/exec/builtin_jobs.c:44  bad spacing
src/exec/exec_simple_cmd.c:22  bad spacing before collect_argwords
src/exec/exec_simple_cmd.c:56  function exec_simple_cmd has 40 lines
src/exec/job.h:43  global named jobs is not well prefixed
src/exec/make_child.c:41  make_child have 5 parameters
src/exec/parse_alias_args.c:4  line has 82 characters
src/exec/parse_alias_args.c:46  Bad spacing for argument print
src/exec/exec.c:28  bad spacing before update_status
src/exec/exec.c:50  bad spacing before need_exec_pipeline
src/exec/exec.c:64  bad spacing before exec_andor_list
src/exec/exec.c:85  bad spacing before exec_complete_cmd
src/exec/exec.c:85  Space before function name
src/exec/env_related_builtins.c:46  Space before function name
src/exec/wait_all_children.c:10  bad spacing before wait_all_children
src/exec/wait_all_children.c:10  Space before function name
src/exec/pipeline_pathname_expansion.c:8  bad spacing after save_list_attributes
src/exec/pipeline_pathname_expansion.c:20  C++ comment
src/exec/pipeline_pathname_expansion.c:21  function redirect_pathname_expansion has 54 lines
src/exec/pipeline_pathname_expansion.c:21  bad spacing before redirect_pathname_expansion
src/exec/pipeline_pathname_expansion.c:23  redirector is instanciated during declaration
src/exec/pipeline_pathname_expansion.c:24  tmp is instanciated during declaration
src/exec/pipeline_pathname_expansion.c:25  tail is instanciated during declaration
src/exec/pipeline_pathname_expansion.c:26  head is instanciated during declaration
src/exec/pipeline_pathname_expansion.c:27  fields is instanciated during declaration
src/exec/pipeline_pathname_expansion.c:79  function simple_cmd_pathname_expansion has 47 lines
src/exec/pipeline_pathname_expansion.c:89  Empty line
src/exec/find_exec.c:85  bad spacing
src/exec/find_exec.c:86  bad indentation
src/exec/t_builtin.h:44  global named builtins is not well prefixed
src/exec/make_assignments_redirections.c:3  Space before function name
src/exec/t_hashalias.h:75  must begin only by tabulations
src/exec/t_hashalias.h:78  C++ comment
src/exec/get_alias_args.c:91  line has 89 characters
src/exec/jobshell.c:21  Space before function name
src/exec/jobshell.c:32  Space before function name
src/exec/make_assignments.c:3  Space before function name
src/exec/make_assignments.c:16  line has 86 characters
src/exec/make_assignments.c:25  Space before function name
src/exec/pipeline_words_to_assignments.c:8  Space before function name
src/exec/pipeline_words_to_assignments.c:15  missing newline after while
src/exec/pipeline_words_to_assignments.c:15  no newline before block
src/exec/pipeline_words_to_assignments.c:16  missing newline after if
src/exec/pipeline_words_to_assignments.c:16  no newline before block
src/exec/pipeline_words_to_assignments.c:18  missing space after break
src/exec/pipeline_words_to_assignments.c:21  Empty line
src/exec/pipeline_words_to_assignments.c:25  Empty line
src/exec/pipeline_words_to_assignments.c:36  bad spacing before command_words_to_assignments
src/exec/pipeline_words_to_assignments.c:36  Space before function name
src/exec/pipeline_words_to_assignments.c:44  Space before function name
src/exec/search_alias.c:93  declarations in search_alias_1 are bad aligned
src/exec/search_alias.c:101  missing space around =
src/exec/search_alias.c:104  missing space around =
src/exec/exec_pipeline.c:12  Space before function name
src/exec/exec_pipeline.c:42  bad spacing before wait_fg_job
src/exec/exec_pipeline.c:42  Space before function name
src/exec/exec_pipeline.c:67  C++ comment
src/exec/exec_pipeline.c:68  C++ comment
src/exec/exec_pipeline.c:69  Space before function name
src/exec/exec_pipeline.c:69  bad spacing before get_tail
